LGA,WARD,name,type,ownership,code,lga,Type_2,ownership2,no,
,,All Peace Nursing Home ,Primary,Private,24,12,1,2,90,
,,Prince Of Peace Specialist Clinic,Primary,Private,24,12,1,2,91,
,,M Cred Hospital,Primary,Private,24,12,1,2,92,
,,Agbede PHC,Primary,Public,24,12,1,1,93,
,,Odo-Nla PHC,Primary,Public,24,12,1,1,94,
,Ajaguro,Ori Okuta HC,Primary,Public,24,12,1,1,95,
,,Ikorodu Metropolitan ,Primary,Private,24,12,1,2,96,
,,Hill Top Convalescent Home,Primary,Private,24,12,1,2,97,
,Aiyegbami,Amodu Adesola Memorial Clinic,Secondary,Private,24,12,2,2,98,
,,Ayobami Nursing Home,Primary,Private,24,12,1,2,99,
,,Ijede Health Center,Secondary,Public,24,12,2,1,100,
,,Divine Touch Nursing Home,Primary,Private,24,12,1,2,101,
,,Aromedic Clinic and Mat,Primary,Private,24,12,1,2,102,
,Ibeshe,Royal Cottage Clinic,Primary,Private,24,12,1,2,103,
,,Life Gate Clinic,Primary,Private,24,12,1,2,104,
,Baiyeku,Oluremi Convalescent Clinic,Primary,Private,24,12,1,2,105,
,,Oreta HC ,Primary,Public,24,12,1,1,106,
,Tonabun,Busola Nursing Home,Primary,Private,24,12,1,2,107,
,Agura,Agura PHC,Primary,Public,24,12,1,1,108,
,Elepe,God's Goodness Maternity,Primary,Private,24,12,1,2,109,
,,Ewu Elepe,Primary,Public,24,12,1,1,110,
,,De-Best Maternity Home,Primary,Private,24,12,1,2,111,
,Egbin,Oluwabusola Maternity Clinic ,Primary,Private,24,12,1,2,112,
,Atere,Imota PHC,Primary,Public,24,12,1,1,113,
,Isiu,Isiu HC,Primary,Public,24,12,1,1,114,
,Olorunda,De-Immaculate Maternity  Home(Annex),Primary,Private,24,12,1,2,115,
,,Olorunda PHC,Primary,Public,24,12,1,1,116,
,Oke Oyinbo,Ijede PHC,Primary,Public,24,12,1,1,117,
,Isele,Awoyemi Group Clinic,Primary,Private,24,12,1,2,118,
,,Ikorodu PHC,Primary,Public,24,12,1,1,119,
,Agbala Lasunwon,Hillpeak Clinic,Primary,Private,24,12,1,2,120,
,,Lasunwon PHC,Primary,Public,24,12,1,1,121,
,,Rodes Clinic,Primary,Private,24,12,1,2,122,
,Majidun,J & T Temitope Convalescent Home,Primary,Private,24,12,1,2,123,
,,Opeolu Clinic,Primary,Private,24,12,1,2,124,
,,Majidun PHC,Primary,Public,24,12,1,1,125,
,Oke eletu,Okeeletu PHC,Primary,Public,24,12,1,1,126,
,Igbokuta,Igbalu PHC/ Igbokuta,Primary,Public,24,12,1,1,127,
,Itunmaja,Oriokuta PHC,Primary,Public,24,12,1,1,128,
KOSOFE,Odogun Ajegunle,Ajegunle PHC,Primary,Public,24,13,1,1,1,
,,Neolife Clinic,Primary,Private,24,13,1,2,2,
,,Donas Specialist Hospital,Secondary,Private,24,13,2,2,3,
,,Barbinton Hospital,Primary,Private,24,13,1,2,4,
,Agiliti Maidan,Maidan PHC,Primary,Public,24,13,1,1,5,
,,Be kind Hospital,Primary,Private,24,13,1,2,6,
,,Heal Al Specialist Hospital,Secondary,Private,24,13,2,2,7,
,,O King Clinic,Primary,Private,24,13,1,2,8,
,,Al-Hayyu Nursing Home,Primary,Private,24,13,1,2,9,
,,Rightcare Convalescent Health Centre,Primary,Private,24,13,1,2,10,
,,Helal Clinic,Primary,Private,24,13,1,2,11,
,,Tee Paul Convalescent Hospital,Primary,Private,24,13,1,2,12,
,,Sabak Convalescent Home,Primary,Private,24,13,1,2,13,
,,Todasem Convalescent Home,Primary,Private,24,13,1,2,14,
,,K-City Convalescent Home,Primary,Private,24,13,1,2,15,
,,Janfemmy Convalescent Nursing Home,Primary,Private,24,13,1,2,16,
,,Agboyi PHC,Primary,Public,24,13,1,1,17,
,,De-Lafia Convalescent Home,Primary,Private,24,13,1,2,18,
,,Al-Sadiq Memorial Convalescent Home,Primary,Private,24,13,1,2,19,
,,Ola Morakinyo Clinic,Primary,Private,24,13,1,2,20,
,Ogudu ,Ola-Ayoka Memorial Convalescent Home,Primary,Private,24,13,1,2,21,
,,Twinsville Medical Centre,Primary,Private,24,13,1,2,22,
,,Ogudu PHC,Primary,Public,24,13,1,1,23,
,,Med-In Specialist Hospital,Secondary,Private,24,13,2,2,24,
,,Nimbus Medical Centre Clinic,Primary,Private,24,13,1,2,25,
,,Yinka Ade Clinic ,Primary,Private,24,13,1,2,26,
,,Inland Specialist Hospital,Secondary,Private,24,13,2,2,27,
,,Ambassador Medical Clinic,Primary,Private,24,13,1,2,28,
,Ojota,Ameso Hospital,Primary,Private,24,13,1,2,29,
,,Horeb Consult Hospital,Primary,Private,24,13,1,2,30,
,,Apex Care Hospital,Primary,Private,24,13,1,2,31,
,,The Merciful God Clinic,Primary,Private,24,13,1,2,32,
,,Synergy Medicals Clinic,Primary,Private,24,13,1,2,33,
,,Mublyn Maternity & Home,Primary,Private,24,13,1,2,34,
,,Fine Day Hospital ,Primary,Private,24,13,1,2,35,
,,Neighbourhood Specialist Clinic,Primary,Private,24,13,1,2,36,
,,Omokehinde Convalescent Home,Primary,Private,24,13,1,2,37,
,,Oluwatoyin Maternity Home,Primary,Private,24,13,1,2,38,
,,Clinton Hospital,Primary,Private,24,13,1,2,39,
,,Jibola Hospital,Primary,Private,24,13,1,2,40,
,,Dorcas Maternity Home,Primary,Private,24,13,1,2,41,
,,St Anthony Clinic ,Primary,Private,24,13,1,2,42,
,Orile Ketu,Samakin Clinic & Maternity Centre,Primary,Private,24,13,1,2,43,
,,Toyeek Hospital,Primary,Private,24,13,1,2,44,
,,Dafe Medical Centre,Primary,Private,24,13,1,2,45,
,,First Cross Convalescent,Primary,Private,24,13,1,2,46,
,,Optimal Medical Centre,Primary,Private,24,13,1,2,47,
,,Tokayo Medical Centre,Primary,Private,24,13,1,2,48,
,,St Joseph Clinic,Primary,Private,24,13,1,2,49,
,,"Accident & Emergency Centre, Lagos-Ibadan Expressway",Primary,Public,24,13,1,1,50,
,,Al - Afiat Comvalescent Home,Primary,Private,24,13,1,2,51,
,,Yomi Convalescent Home,Primary,Private,24,13,1,2,52,
,Bamgbe Elebiju,Bolakunmi Idowu Memorial Medical Centre,Primary,Private,24,13,1,2,53,
,,Iyanu Clinic,Primary,Private,24,13,1,2,54,
,,Ketu PHC (Mascara),Primary,Public,24,13,1,1,55,
,,Rally Hospital,Primary,Private,24,13,1,2,56,
,,Zion Hospital,Primary,Private,24,13,1,2,57,
,,Efakon Hospital ,Primary,Private,24,13,1,2,58,
,,Dominion Hospital,Primary,Private,24,13,1,2,59,
,,Lade Hospital,Primary,Private,24,13,1,2,60,
,Erunkun Orishigun,As-Sakinah Clinic,Primary,Private,24,13,1,2,61,
,,Deji Clinic,Primary,Private,24,13,1,2,62,
,,Trust (Amana) Medical Centre,Secondary,Private,24,13,2,2,63,
,,Delta Crown Hospital,Primary,Private,24,13,1,2,64,
,,Fine Day Hospital ,Primary,Private,24,13,1,2,65,
,,Kunland Hospital,Primary,Private,24,13,1,2,66,
,,Folu clinic,Primary,Private,24,13,1,2,67,
,,Dan's Medical Centre,Primary,Private,24,13,1,2,68,
,,Bernice Clinic,Primary,Private,24,13,1,2,69,
,,Molad Memorial Clinic,Primary,Private,24,13,1,2,70,
,,World's Bible Hospital,Primary,Private,24,13,1,2,71,
,Arowosegbe  Alapere,Theo Hospital,Primary,Private,24,13,1,2,72,
,,Wuraola Clinic,Primary,Private,24,13,1,2,73,
,,De-Morolayo Hospital ,Primary,Private,24,13,1,2,74,
,,Ayo Clinic,Primary,Private,24,13,1,2,75,
,,Inland Specialist hospital,Primary,Private,24,13,1,2,76,
,,Oyinlola Clinic,Primary,Private,24,13,1,2,77,
,,Prolife Maternity,Primary,Private,24,13,1,2,78,
,,Lammy Clinic,Primary,Private,24,13,1,2,79,
,,Helohim Maternity Home,Primary,Private,24,13,1,2,80,
,,Folu Clinic & Maternity Home,Primary,Private,24,13,1,2,81,
,,Rojafia Convalescent Centre,Primary,Private,24,13,1,2,82,
,,Esther Memorial Maternity Home,Primary,Private,24,13,1,2,83,
,,Lam-Shalom Convalescent Home,Primary,Private,24,13,1,2,84,
,,Leye Clinic,Primary,Private,24,13,1,2,85,
,,Gold Cross Clinic,Primary,Private,24,13,1,2,86,
,,Marosen Clinic,Primary,Private,24,13,1,2,87,
,,Our Lady Maternity Home,Primary,Private,24,13,1,2,88,
,Agidi Osogun,Love Spring Hospital,Primary,Private,24,13,1,2,89,
,,St Micheal Medical Centre,Primary,Private,24,13,1,2,90,
,,De-Peculiar Convalescent Home,Primary,Private,24,13,1,2,91,
,Araromi Ifako,Oluwakoseunti Maternity Home,Secondary,Private,24,13,2,2,92,
,,Master's Touch Maternity Home,Primary,Private,24,13,1,2,93,
,,Gbagada General Hospital,Secondary,Public,24,13,2,1,94,
,,Aniyun Hospital,Primary,Private,24,13,1,2,95,
,,Roluwo Maternity Centre,Primary,Private,24,13,1,2,96,
,,Chevron Hospital,Primary,Private,24,13,1,2,97,
,,Adetola Specialist Clinic,Primary,Private,24,13,1,2,98,
,,Ben-K Medical Centre,Primary,Private,24,13,1,2,99,
,Shangisha Magodo,Sky High Medical Centre,Primary,Private,24,13,1,2,100,
,,McDonald Specialist Hospital,Primary,Private,24,13,1,2,101,
,,Qublan Klinic Centre,Primary,Private,24,13,1,2,102,
,,Jose - Maria Clinic,Secondary,Private,24,13,2,2,103,
,,Allied Medical Services Ltd,Primary,Private,24,11,1,2,104,
,,Citizen Medical Centre(Annex),Primary,Private,24,11,1,2,105,
,,Magodo Specialist Hospital,Primary,Private,24,13,1,2,106,
,,Awolesi Hospital,Primary,Private,24,13,1,2,107,
,,Deolu Clinic,Secondary,Private,24,13,2,2,108,
,,Leye Convalescent Home,Primary,Private,24,13,1,2,109,
,,Boye Convalescent Clinic,Primary,Private,24,13,1,2,110,
,Mende,Mende PHC,Primary,Public,24,13,1,1,111,
,,Bethphage Medical Clinic,Primary,Private,24,13,1,2,112,
,,I.F.P.F. Hospital,Primary,Private,24,13,1,2,113,
,,Otological Health Services,Primary,Private,24,13,1,2,114,
,Anthony,Immanuel M Hospital,Primary,Private,24,13,1,2,115,
,,Divine Specialist Clinic,Primary,Private,24,13,1,2,116,
,,EHA Clinic,Primary,Private,24,13,1,2,117,
,,Rola Specialist Clinic,Primary,Private,24,13,1,2,118,
,,Toyibat Foundation Clinic,Primary,Private,24,13,1,2,119,
,Olubori Mosafejo,King Solomon Hospital,Primary,Private,24,13,1,2,120,
,,Life Foundation Medical Clinic,Primary,Private,24,13,1,2,121,
,,Gbomojo Maternity Home,Primary,Private,24,13,1,2,122,
,Orile Oworo,Gloria Hospital,Primary,Private,24,13,1,2,123,
,,Saint Daniel's Hospital,Primary,Private,24,13,1,2,124,
,,Itunu Convalescent Home,Primary,Private,24,13,1,2,125,
,,Jil Conqueror's Maternity Home,Primary,Private,24,13,1,2,126,
,,Oworo PHC,Primary,Public,24,13,1,1,127,
,,St Patricks Medical Centre,Primary,Private,24,13,1,2,128,
,,God's Covenant Clinic,Primary,Private,24,13,1,2,129,
,,V King Grace Maternity Home,Primary,Private,24,13,1,2,130,
,,Molayo Maternity Home,Primary,Private,24,13,1,2,131,
,,"Abiye Clinic, Hospital & Maternity Ltd",Primary,Private,24,13,1,2,132,
,Orile Ikosi,Eniola Clinic,Primary,Private,24,13,1,2,133,
,,Godled Maternity Home,Primary,Private,24,13,1,2,134,
,,Luli mat. Home,Primary,private,24,13,1,2,135,
,,J-Goal Clinic,Primary,Private,24,13,1,2,136,
,,Pama Specialist Clinic,Primary,Private,24,13,1,2,137,
,,Princematt Clinic,Primary,Private,24,13,1,2,138,
,,Elegbeleye Specialist Hospital,Primary,Private,24,13,1,2,139,
,,Eboa Medical center,Primary,Private,24,13,1,2,140,
,,John Stephens Medical Centre,Primary,Private,24,13,1,2,141,
,,Yombo Hospital & Maternity Home,Primary,Private,24,13,1,2,142,
,,De-Shiloh Convalescent Home,Primary,Private,24,13,1,2,143,
,Ikosi oke,Ikosi Oke PHC,Primary,Public,24,13,1,1,144,
,,Fulbert clinic ,Primary,Private,24,13,1,2,145,
,Isheri Olowora,Isheri PHC ,Primary,Public,24,13,1,1,146,
,,Sadia Medical Clinic,Primary,Private,24,13,1,2,147,
,,Samuel Abudu Memorial Clinic ,Primary,Private,24,13,1,2,148,
,,Gifted handa Medical Centre ,Primary,Private,24,13,1,2,149,
,,Isheri Olowora Mutual Clinic,Primary,Private,24,13,1,2,150,
,,Jocon Davids Clinic,Primary,Private,24,13,1,2,151,
,,Omolewa Med Centre,Primary,Private,24,13,1,2,152,
,,Victoria Clinic,Primary,Private,24,13,1,2,153,
LAGOS ISLAND,Oke Olowogbowo,Fuja Medical Centre,Secondary,Private,24,14,2,2,1,
,,Dejoke Maternity Centre,Primary,Private,24,14,1,2,2,
,,Olowogbowo PHC,Primary,Public,24,14,1,1,3,
,,A A Fatayi Williams Clinic,Primary,Private,24,14,1,2,4,
,,Mosed Clinic,Primary,Private,24,14,1,2,5,
,,Tajudeen Mobolaji Salau Clinic,Primary,Private,24,14,1,2,6,
,,Vintage Eye Clinic,Primary,Private,24,14,1,2,7,
,,Ashiata-Abake Memorial Hospital,Primary,Private,24,14,1,2,8,
,,St Paul's Church Bread Fruit Clinic,Primary,Private,24,14,1,2,9,
,Isale Eko,Dero Medical Clinic,Primary,Private,24,14,1,2,10,
,,Labib Medical Centre,Primary,Private,24,14,1,2,11,
,,Fame Nursing Home,Primary,Private,24,14,1,2,12,
,,Onola HP,Primary,Public,24,14,1,1,13,
,,Oke Arin HP,Primary,Public,24,14,1,1,14,
,,Dammy Nursing Home,Primary,Private,24,14,1,2,15,
,,OBA Clinic & Maternity Home,Secondary,Private,24,14,2,2,16,
,,Adeniji Adele PHC,Primary,Public,24,14,1,1,17,
,,Ajike Sanda Mem Medical Centre,Primary,Private,24,14,1,2,18,
,,Runsewe Specialist,Primary,Private,24,14,1,2,19,
,,Al-Ameen Nursing Home,Primary,Private,24,14,1,2,20,
,City hall,City Hall PHC,Primary,Public,24,14,1,1,21,
,,Patela Clinic,Primary,private,24,14,1,2,22,
,,Lagos Island Mat. Hospital,Secondary,Public,24,14,2,1,23,
,,St Nicholas Hospital,Tertiary,Private,24,14,3,2,24,
,,Holy Cross Cathedral Clinic,Primary,Private,24,14,1,2,25,
,,Michaelmas ENT Specialist Clinic,Primary,Private,24,14,1,2,26,
,,Tenie Dental Clinic,Primary,Private,24,14,1,2,27,
,,Hallmark Clinic,Primary,Private,24,14,1,2,28,
,,City Angels Medicare Clinic,Primary,Private,24,14,1,2,29,
,,R & A Dental Clinic,Primary,Private,24,14,1,2,30,
,,First Bank Of Nigeria Staff Clinic,Primary,Private,24,14,1,2,31,
,,Marina Medical Services Ltd,Secondary,Private,24,14,2,2,32,
,,Dr Kehinde Ajayi's Clinic,Primary,Private,24,14,1,2,33,
,,Shell Petroleum Development Company Hospital,Secondary,Private,24,14,2,2,34,
,,"General Hospital, Lagos",Secondary,Public,24,14,2,1,35,
,,Salvation Army Clinic,Primary,Private,24,14,1,2,36,
,,Cathedral Church of Christ Clinic,Primary,Private,24,14,1,2,37,
,Massey Street Ward,Jibod Clinic,Primary,Private,24,14,1,2,38,
,,Massey Str. Children’s Hospital,Secondary,Public,24,14,2,1,39,
,,Good Faith Clinic,Secondary,Private,24,14,2,2,40,
,Onikan,Tiwadola Clinic,Primary,Private,24,14,1,2,41,
,,The Health Arena Hospital,Secondary,Private,24,14,2,2,42,
,,Omni Medical Centre,Secondary,Private,24,14,2,2,43,
,,Hanoba Medical Centre,Secondary,Private,24,14,2,2,44,
,,Tmac Specialist Hospital,Secondary,Private,24,14,2,2,45,
,,Hope Done Clinic,Primary,Private,24,14,1,2,46,
,,Medical & Dental Consultant Service,Primary,Private,24,14,1,2,47,
,,Osagie Dental Clinic,Primary,Private,24,14,1,2,48,
,,Damian Dental Clinic,Primary,Private,24,14,1,2,49,
,,T B S Dental Clinic,Primary,Private,24,14,1,2,50,
,,Onikan Health Center,Secondary,Public,24,14,2,1,51,
,,Our Saviour's Church Clinic,Primary,Private,24,14,1,2,52,
,,Pike Medical Clinic,Primary,Private,24,14,1,2,53,
,,Premann Medical Centre,Primary,Private,24,14,1,2,54,
,,Iraye Specialist Dental Clinic,Primary,Private,24,14,1,2,55,
,,Maja Hospital,Primary,Private,24,14,1,2,56,
,,Health-Light Clinic,Secondary,Private,24,14,2,2,57,
,,Nuklius Specialist Clinic,Primary,Private,24,14,1,2,58,
,,La-Peak Medical Centre,Primary,Private,24,14,1,2,59,
,Epetedo ,Mayowa Hospital,Secondary,Private,24,14,2,2,60,
,,De-Beta (B) Clinic,Primary,Private,24,14,1,2,61,
,,Cottage Medical Clinic,Primary,Private,24,14,1,2,62,
,,Yide Medical Centre,Primary,Private,24,14,1,2,63,
,,Evans Clinic And Maternity Centre,Primary,Private,24,14,1,2,64,
,,Roland Hospital,Primary,Private,24,14,1,2,65,
,,Labson Specialist Clinic,Primary,Private,24,14,1,2,66,
,,Sadiq Memorial Clinic,Primary,Private,24,14,1,2,67,
,,Ikram Clinic,Primary,Private,24,14,1,2,68,
,,Fehintola Royal Consulting Medical ,Primary,Private,24,14,1,2,69,
,,Juli Sam Clinic,Primary,Private,24,14,1,2,70,
,,Best Care Clinic,Secondary,Private,24,14,2,2,71,
,,BMH Clinic,Secondary,Private,24,14,2,2,72,
,,Rab Clinic,Primary,Private,24,14,1,2,73,
,,Sura PHC,Primary,Public,24,14,1,1,74,
,,Oko Awo PHC,Primary,Public,24,14,1,1,75,
,,Ita Faji HP,Primary,Public,24,14,1,1,76,
,,Tajudin Oluti Hp,Primary,Public,24,14,1,1,77,
LAGOS MAINLAND,Abule Ijesha,Military Hospital,Tertiary,Public,24,15,3,1,1,
,,Alli Daodu PHC,Primary,Public,24,15,1,1,2,
,,Federal Neuro Psychiatric Hospital,Tertiary,Public,24,15,3,1,3,
,,Infectious Diseases Hospital(mainland Hospital,Secondary,Public,24,15,2,1,4,
,Abule-nla,Abule Nla PHC,Primary,Public,24,15,1,1,5,
,Adekunle ,Aiyetoro  PHC,Primary,Public,24,15,1,1,6,
,Aderupoko,Total Victory Convalescent Home,Primary,Private,24,15,1,2,7,
,Alagomeji, The Acme clinic,Primary,Private,24,15,1,2,8,
,,Ejiwunmi Clinic,Primary,Private,24,15,1,2,9,
,,Lobel Hospital,Primary,Private,24,15,1,2,10,
,,Noble Hospital,Secondary,Private,24,15,2,2,11,
,,Preferred Physiotheraphy & Wellness Clinic,Primary,Private,24,15,1,2,12,
,,St Paul Catholic Church Maternity,Primary,Private,24,15,1,2,13,
,,May Field Medical Clinic,Primary,Private,24,15,1,2,14,
,Alobal Desalu,Ore-Ofe Hospital ,Primary,Private,24,15,1,2,15,
,Araromi Okobaba,Dunik Medical Centre,Primary,Private,24,15,1,2,16,
,,Redeemed Maternity Home,Primary,Private,24,15,1,2,17,
,Botanical Gardens,Brickfield Medical Centre,Secondary,Private,24,15,2,2,18,
,,Healing Touch Royal Clinic,Primary,Private,24,15,1,2,19,
,,Imperial Hospital,Secondary,Private,24,15,2,2,20,
,,Awe Medical Centre,Primary,Private,24,15,1,2,21,
,,Cavetac Dental Clinic,Primary,Private,24,15,1,2,22,
,,Gaurds  Mark Company Clinic,Primary,Private,24,15,1,2,23,
,,Good Seed Clinics,Primary,Private,24,15,1,2,24,
,,Ibare Specialist Clinic,Primary,Private,24,15,1,2,25,
,,Merista Clinic,Primary,Private,24,15,1,2,26,
,,Remi & Remi Memorial Specialist Clinic,Primary,Private,24,15,1,2,27,
,,Townsend Clinic Practice Of Surgery,Primary,Private,24,15,1,2,28,
,Freeman/ Glover,Almat Medical Centre,Secondary,Private,24,15,2,2,29,
,,Bidson Skin Clinic,Primary,Private,24,15,1,2,30,
,,Mount Sinai Hospital ,Secondary,Private,24,15,2,2,31,
,,Simson PHC,Primary,Public,24,15,1,1,32,
,,St. Ken Clinic,Primary,Private,24,15,1,2,33,
,,St. Stephen Hospital,secondary,Private,24,15,2,2,34,
,,The Rock Dental Centre,Primary,Private,24,15,1,2,35,
,,Crescent Medical Clinic,Primary,Private,24,15,1,2,36,
,,Our Lady's Specialist Clinic,Primary,Private,24,15,1,2,37,
,Harvey,Action Health Incorporated Clinic,Primary,Private,24,15,1,2,38,
,,Agbonmagbe Olumide Memorial Specialist Hospital,Secondary,Private,24,15,2,2,39,
,,Amazing Health-Care Clinic,Primary,Private,24,15,1,2,40,
,,Clinical Research Centre( NIMR),Secondary,Public,24,15,2,1,41,
,,D Lawrence Clinic & Maternity home,Primary,Private,24,15,1,2,42,
,,De St Mary's Children's Clinic,Primary,Private,24,15,1,2,43,
,,De-Best Convalescent Home,Primary,Private,24,15,1,2,44,
,,Farri Specialist Hospital,Secondary,Private,24,15,2,2,45,
,,Hallmac Clinic,Primary,Private,24,15,1,2,46,
,,Harvey Road General Hospital,Secondary,Public,24,15,2,1,47,
,,Integrated Medical Services,Primary,Private,24,15,1,2,48,
,,Marien Clinic,Primary,Private,24,15,1,2,49,
,,Oba Salami PHC,Primary,Public,24,15,1,1,50,
,,Patmos Clinic,Primary,Private,24,15,1,2,51,
,,St Dominion Clinic,Primary,Private,24,15,1,2,52,
,,tares Hospital,Primary,Private,24,15,1,2,53,
,Makoko,Barry International Medical Centre,Primary,Private,24,15,1,2,54,
,,Olayemi Convalescent Home,Primary,Private,24,15,1,2,55,
,,Makoko Maternity Home,Primary,Private,24,15,1,2,56,
,,Pat-Toria Clinic,Primary,Private,24,15,1,2,57,
,,St Martin DE Porres Maternity Centre,Primary,Private,24,15,1,2,58,
,Ojo Oniyun,Federal medical centre,Secondary,Private,24,15,2,2,59,
,,First Health Specialist Clinic,Primary,Private,24,15,1,2,60,
,,Idera Hospital-Ebute Metta,Primary,Private,24,15,1,2,61,
,,M O Oni Maternity Home,Primary,Private,24,15,1,2,62,
,,Ondo West PHC,Primary,Public,24,15,1,1,63,
,,Watershed Hospital,Primary,Private,24,15,1,2,64,
,Okobaba,Ansar-Ud-Deen Clinic,Primary,Private,24,15,1,2,65,
,,Ebute-Metta comprehensive Health centre,Secondary,Private,24,15,2,2,66,
,,Eunibos Clinic,Primary,Private,24,15,1,2,67,
,,Kuba Hospital,Secondary,Private,24,15,2,2,68,
,Onike Oyadiran,Asman Dental Clinic,Primary,Private,24,15,1,2,69,
,,Baptist Church Clinic,Primary,Private,24,15,1,2,70,
,,First Divine Clinic,Primary,Private,24,15,1,2,71,
,,Gold Cross Hospital,Primary,Private,24,15,1,2,72,
,,Good Mercs Clinic,Primary,Private,24,15,1,2,73,
,,Hoare's Memorial Methodist Cathedral Clinic,Primary,Private,24,15,1,2,74,
,,Jenetta Clinic,Primary,Private,24,15,1,2,75,
,,Logemo Clinic,Primary,Private,24,15,1,2,76,
,,Magdalen Hospital,Primary,Private,24,15,1,2,77,
,,Patela Hospital,Secondary,Private,24,15,2,2,78,
,,St Luke's Hospital,Secondary,Private,24,15,2,2,79,
,,Tabade Clinic,Primary,Private,24,15,1,2,80,
,,Vones Specialist Hospital,Secondary,Private,24,15,2,2,81,
,,Yaba Baptist Church Clinic,Primary,Private,24,15,1,2,82,
,,NSPMC Hospital,Primary,Private,24,15,1,2,83,
,,St Perpetua Clinic,Primary,Private,24,15,1,2,84,
,,Uzondu Medical Centre,Primary,Private,24,15,1,2,85,
,Otto,Otto PHC,Primary,Public,24,15,1,1,86,
,,Peace  clinic,Primary,Private,24,15,1,2,87,
,Oyingbo,Diocese  of Anglican church hospital,Primary,Private,24,15,1,2,88,
,Salami/Bayewunmi,Dajuta Clinic & Maternity Home,Primary,Private,24,15,1,2,89,
,,Iwaya PHC,Primary,Public,24,15,1,1,90,
,,First Royal Medical Clinic,Primary,Private,24,15,1,2,91,
,,Mount Horeb Maternity Home,Primary,Private,24,15,1,2,92,
MUSHIN,Alafia,Saltak Convalescent Home,Primary,Private,24,16,1,2,1,
,,Chidera Clinic & Maternity Home,Primary,Private,24,16,1,2,2,
,,Alafia Tayo Maternity ,Primary,Private,24,16,1,2,3,
,,Good Hope Hospital,Primary,Private,24,16,1,2,4,
,,Charging Cross Clinic,Primary,Private,24,16,1,2,5,
,,Best Hope Hospital,Primary,Private,24,16,1,2,6,
,,House of Peace Specialist Clinic,Primary,Private,24,16,1,2,7,
,,May Hospital,Secondary,Private,24,16,2,2,8,
,,Phoenix Clinic,Primary,Private,24,16,1,2,9,
,,Femtab Clinic,Primary,Private,24,16,1,2,10,
,,Orisegun Medical Centre,Primary,Private,24,16,1,2,11,
,,Marry-Anne Medical Clinic,Primary,Private,24,16,1,2,12,
,,Mike - Day Maternity Home,Primary,Private,24,16,1,2,13,
,,Alatra Divine Nursing Home,Primary,Private,24,16,1,2,14,
,,Bisi Dental Clinic,Primary,Private,24,16,1,2,15,
,,Hammed Convalescent Centre,Primary,Private,24,16,1,2,16,
,,General Hospital Mushin,Secondary,Public,24,16,2,1,17,
,,Isolo Rd PHC,Primary,Public,24,16,1,1,18,
,,God's Grace Convalescent Home,Primary,Private,24,16,1,2,19,
,,Legend Hospital & Maternity ,Primary,Private,24,16,1,2,20,
,,Lorret Maternity Home,Primary,Private,24,16,1,2,21,
,,Rophe Medical Centre,Primary,Private,24,16,1,2,22,
,,Salvation Clinic & Hospital,Primary,Private,24,16,1,2,23,
,,Victory Specialist Clinic,Primary,Private,24,16,1,2,24,
,,Dela Clinic & Maternity Home,Primary,Private,24,16,1,2,25,
,,Divine Nursing Home,Primary,Private,24,16,1,2,26,
,Alakara,Jagbon Hospital,Primary,Private,24,16,1,2,27,
,,Continental Hospital,Primary,Private,24,16,1,2,28,
,,Redemption Medical Clinic,Primary,Private,24,16,1,2,29,
,,Peniel Specialist Clinic,Primary,Private,24,16,1,2,30,
,,Kajola PHC,Primary,Public,24,16,1,1,31,
,Atewolara,Merit General clinic,Secondary,Private,24,16,2,2,32,
,,Cedar Clinic,Primary,Private,24,16,1,2,33,
,,John-Vic Clinic,Primary,Private,24,16,1,2,34,
,Babalosa 1,Regina Mundi Parish Hospital,Primary,Private,24,16,1,2,35,
,,Olutoba Clinic,Primary,Private,24,16,1,2,36,
,,Babalosa tands Hospital,Secondary,Private,24,16,2,2,37,
,,T & S Hospital,Primary,Private,24,16,1,2,38,
,,Tolajide Nursing Home,Primary,Private,24,16,1,2,39,
,,The Merit Medical Clinic,Primary,Private,24,16,1,2,40,
,Babalosa 2,Abisat Convalescent Health Centre,Primary,Private,24,16,1,2,41,
,,Al-Hameed Convalescent Home,Primary,Private,24,16,1,2,42,
,,Oluwatobi Convalescent Home,Primary,Private,24,16,1,2,43,
,,Ogungbaiye PHC,Primary,Public,24,16,1,1,44,
,,Jimmy Medical Centre,Primary,Private,24,16,1,2,45,
,Idiaraba,St Kizito Clinic (Annex),Primary,Private,24,16,1,2,46,
,,JOAS Physiotherapy and fitness clinic,Primary,Private,24,16,1,2,47,
,,LordWest hospital & maternity,Secondary,Private,24,16,2,2,48,
,,Igbala Maternity Home ,Primary,Private,24,16,1,2,49,
,,Lagos University Teaching Hospital LUTH,Tertiary,Public,24,16,3,1,50,
,Idi oro,BMM Hospital ,Primary,Private,24,16,1,2,51,
,,Merciful God Nursing Home,Secondary,Private,24,16,2,2,52,
,Ilupeju ,May Hospital,Primary,Private,24,16,1,2,53,
,,"A-Ilupeju Ear, Nose & Throat Clinic",Primary,Private,24,16,1,2,54,
,,Votai Clinic,Primary,Private,24,16,1,2,55,
,,Labi Hospital,Primary,Private,24,16,1,2,56,
,,Legus Specialist Hospital,Primary,Private,24,16,1,2,57,
,,First Shadrach's Hospital,Primary,Private,24,16,1,2,58,
,,Shigun Hospital & Maternity Home,Primary,Private,24,16,1,2,59,
